,wer,cer,utmos,bitrate
fixed_280-128_dedup,111.717,73.861,3.476,32
fixed_280-256_dedup,110.982,72.713,3.458,37
fixed_280-512_dedup,111.694,71.79,3.482,42
fixed_280-1024_dedup,107.614,71.469,3.347,46
fixed_280-2048_dedup,113.828,73.401,3.451,50
fixed_280-4096_dedup,108.61,71.481,3.353,55
fixed_280-8192_dedup,108.373,70.325,3.167,58
fixed_280-16384_dedup,105.408,70.026,3.324,61
fixed_240-128_dedup,108.918,72.001,3.58,37
fixed_240-256_dedup,105.147,68.312,3.632,43
fixed_240-512_dedup,103.131,66.701,3.76,48
fixed_240-1024_dedup,98.861,64.149,3.607,54
fixed_240-2048_dedup,104.127,65.909,3.61,59
fixed_240-4096_dedup,99.976,64.784,3.594,64
fixed_240-8192_dedup,100.617,63.46,3.533,68
fixed_240-16384_dedup,99.122,63.693,3.455,72
fixed_200-128_dedup,96.656,62.806,3.89,44
fixed_200-256_dedup,92.386,58.91,3.899,51
fixed_200-512_dedup,83.017,51.18,3.886,58
fixed_200-1024_dedup,81.286,49.638,3.846,64
fixed_200-2048_dedup,80.384,49.091,3.816,70
fixed_200-4096_dedup,79.459,48.341,3.791,76
fixed_200-8192_dedup,77.799,48.031,3.738,81
fixed_200-16384_dedup,77.301,47.668,3.605,86
fixed_160-128_dedup,71.964,43.401,4.107,54
fixed_160-256_dedup,49.976,28.768,4.075,63
fixed_160-512_dedup,46.252,26.384,4.095,72
fixed_160-1024_dedup,43.121,23.621,4.067,79
fixed_160-2048_dedup,43.454,24.322,4.019,87
fixed_160-4096_dedup,42.03,23.614,4.006,94
fixed_160-8192_dedup,42.244,23.644,3.944,102
fixed_160-16384_dedup,38.069,20.943,3.914,108
fixed_120-128_dedup,32.685,17.824,4.242,70
fixed_120-256_dedup,18.857,9.945,4.259,82
fixed_120-512_dedup,16.343,8.686,4.216,93
fixed_120-1024_dedup,14.469,7.477,4.231,103
fixed_120-2048_dedup,15.489,7.887,4.209,113
fixed_120-4096_dedup,14.516,7.232,4.177,123
fixed_120-8192_dedup,13.828,6.903,4.109,133
fixed_120-16384_dedup,15.56,7.94,4.048,143
fixed_80-128_dedup,10.104,4.749,4.336,96
fixed_80-256_dedup,5.337,2.487,4.327,116
fixed_80-512_dedup,3.843,1.657,4.343,130
fixed_80-1024_dedup,3.961,1.68,4.331,145
fixed_80-2048_dedup,3.416,1.511,4.253,159
fixed_80-4096_dedup,3.676,1.577,4.236,176
fixed_80-8192_dedup,3.629,1.645,4.173,192
fixed_80-16384_dedup,3.51,1.603,4.081,209
fixed_40-128_dedup,2.704,1.156,4.376,152
fixed_40-256_dedup,1.826,0.654,4.364,181
fixed_40-512_dedup,1.305,0.54,4.354,212
fixed_40-1024_dedup,1.091,0.421,4.324,238
fixed_40-2048_dedup,1.21,0.398,4.324,265
fixed_40-4096_dedup,1.376,0.528,4.271,300
fixed_40-8192_dedup,1.542,0.601,4.175,335
fixed_40-16384_dedup,1.708,0.677,4.037,373
fixed_20-128_dedup,2.087,0.815,4.404,194
fixed_20-256_dedup,1.565,0.635,4.383,237
fixed_20-512_dedup,1.186,0.436,4.367,282
fixed_20-1024_dedup,1.115,0.49,4.356,326
fixed_20-2048_dedup,1.233,0.486,4.295,372
fixed_20-4096_dedup,1.233,0.482,4.22,431
fixed_20-8192_dedup,1.731,0.712,4.026,497
fixed_20-16384_dedup,1.542,0.612,4.017,577
