setting,bitrate,cer,utmos,temperature,PPL,VERT,distance
20-128,194,0.815,4.404,0.7,260.541,20.59,0.479
20-256,237,0.635,4.383,0.6,210.7,24.64,0.426
20-512,282,0.436,4.367,0.7,252.971,21.48,0.471
20-1024,326,0.49,4.356,0.6,244.448,21.28,0.467
20-2048,372,0.486,4.295,0.6,216.112,22.15,0.459
20-4096,431,0.482,4.22,0.7,203.72,16.43,0.371
20-8192,497,0.712,4.026,0.7,268.401,17.71,0.54
20-16384,577,0.612,4.017,0.6,176.381,20.24,0.45
40-128,152,1.156,4.376,0.7,267.843,24.01,0.443
40-256,181,0.654,4.364,0.7,258.235,17.97,0.456
40-512,212,0.54,4.354,0.7,256.919,16.17,0.482
40-1024,238,0.421,4.324,0.6,196.977,24.76,0.474
40-2048,265,0.398,4.324,0.6,223.877,22.8,0.514
40-4096,300,0.528,4.271,0.7,241.09,15.56,0.482
40-8192,335,0.601,4.175,0.6,250.023,16.59,0.525
40-16384,373,0.677,4.037,0.6,265.281,17.83,0.622
80-128,96,4.749,4.336,0.6,313.715,23.08,0.556
80-256,116,2.487,4.327,0.6,270.379,24.4,0.557
80-512,130,1.657,4.343,0.7,250.185,17.04,0.47
80-1024,145,1.68,4.331,0.7,244.124,16.78,0.478
80-2048,159,1.511,4.253,0.7,233.153,17.71,0.515
80-4096,176,1.577,4.236,0.6,214.647,19.55,0.46
80-8192,192,1.645,4.173,0.7,254.09,15.17,0.565
80-16384,209,1.603,4.081,1.2,243.105,8.86,0.594
120-128,70,17.824,4.242,1.0,386.229,6.53,0.609
120-256,82,9.945,4.259,0.6,318.185,19.2,0.515
120-512,93,8.686,4.216,0.5,255.963,26.99,0.611
120-1024,103,7.477,4.231,0.5,174.315,26.91,0.515
120-2048,113,7.887,4.209,0.5,231.296,23.49,0.621
120-4096,123,7.232,4.177,0.5,142.379,22.72,0.506
120-8192,133,6.903,4.109,1.1,260.55,7.55,0.535
120-16384,143,7.94,4.048,0.8,212.36,13.17,0.507
160-128,54,43.401,4.107,None,None,None,None
160-256,63,28.768,4.075,None,None,None,None
160-512,72,26.384,4.095,None,None,None,None
160-1024,79,23.621,4.067,None,None,None,None
160-2048,87,24.322,4.019,None,None,None,None
160-4096,94,23.614,4.006,None,None,None,None
160-8192,102,23.644,3.944,None,None,None,None
160-16384,108,20.943,3.914,None,None,None,None
200-128,44,62.806,3.89,None,None,None,None
200-256,51,58.91,3.899,None,None,None,None
200-512,58,51.18,3.886,None,None,None,None
200-1024,64,49.638,3.846,None,None,None,None
200-2048,70,49.091,3.816,None,None,None,None
200-4096,76,48.341,3.791,None,None,None,None
200-8192,81,48.031,3.738,None,None,None,None
200-16384,86,47.668,3.605,None,None,None,None
240-128,37,72.001,3.58,None,None,None,None
240-256,43,68.312,3.632,None,None,None,None
240-512,48,66.701,3.76,None,None,None,None
240-1024,54,64.149,3.607,None,None,None,None
240-2048,59,65.909,3.61,None,None,None,None
240-4096,64,64.784,3.594,None,None,None,None
240-8192,68,63.46,3.533,None,None,None,None
240-16384,72,63.693,3.455,None,None,None,None
280-128,32,73.861,3.476,None,None,None,None
280-256,37,72.713,3.458,None,None,None,None
280-512,42,71.79,3.482,None,None,None,None
280-1024,46,71.469,3.347,None,None,None,None
280-2048,50,73.401,3.451,None,None,None,None
280-4096,55,71.481,3.353,None,None,None,None
280-8192,58,70.325,3.167,None,None,None,None
280-16384,61,70.026,3.324,None,None,None,None
gold,None,None,None,None,52.264,10.47,0.0
