setting,bitrate,wer,utmos,temperature,PPL,VERT,distance
gold,,0.96,4.4369,,52.264,10.47,0.0
tacotron2-20-128,194,2.24,4.1973,0.6,209.967,25.74,0.484
tacotron2-20-256,237,1.69,4.1885,0.6,220.393,25.06,0.428
tacotron2-20-512,282,1.33,4.1217,0.7,241.431,21.65,0.44
tacotron2-20-1024,326,1.36,4.1193,0.6,237.413,21.02,0.459
tacotron2-20-2048,372,1.53,4.1464,0.6,220.438,22.18,0.447
tacotron2-20-4096,431,1.48,4.0854,0.6,252.458,22.3,0.522
tacotron2-20-8192,497,75.55,3.0456,,,,
tacotron2-20-16384,576,125.43,2.4407,,,,
tacotron2-40-128,152,14.49,3.8174,,,,
tacotron2-40-256,181,1.48,4.191,0.6,205.228,23.25,0.447
tacotron2-40-512,211,1.61,4.1881,0.7,254.193,16.21,0.452
tacotron2-40-1024,237,1.89,4.0574,0.6,187.003,24.26,0.437
tacotron2-40-2048,265,1.48,4.1603,0.6,217.226,22.97,0.493
tacotron2-40-4096,299,1.41,4.064,0.7,245.393,15.66,0.491
tacotron2-40-8192,334,1.38,3.8326,,,,
tacotron2-40-16384,372,120.23,2.3675,,,,
tacotron2-80-128,96,9.01,4.1138,,,,
tacotron2-80-256,116,4.0,4.1894,0.7,278.704,18.98,0.508
tacotron2-80-512,130,2.82,4.1856,0.7,229.964,17.46,0.425
tacotron2-80-1024,145,2.01,4.1998,0.7,224.873,17.06,0.438
tacotron2-80-2048,159,1.64,4.0862,0.7,206.342,18.05,0.476
tacotron2-80-4096,175,1.86,4.0822,0.6,190.977,19.51,0.448
tacotron2-80-8192,192,1.66,4.1084,0.7,238.786,15.33,0.545
tacotron2-80-16384,208,69.96,3.6699,,,,
tacotron2-120-128,69,26.54,4.1075,,,,
tacotron2-120-256,81,10.82,4.1447,,,,
tacotron2-120-512,92,8.78,4.1096,,,,
tacotron2-120-1024,103,4.63,4.1307,0.7,232.7,20.94,0.482
tacotron2-120-2048,112,3.9,4.1396,0.7,220.432,17.17,0.542
tacotron2-120-4096,123,3.32,4.1324,0.7,229.311,15.51,0.582
tacotron2-120-8192,133,3.62,4.0928,0.6,137.931,19.55,0.421
tacotron2-120-16384,143,9.48,3.9122,,,,
tacotron2-160-128,54,52.1,4.0119,,,,
tacotron2-160-256,63,26.01,4.1368,,,,
tacotron2-160-512,71,17.96,4.0853,,,,
tacotron2-160-1024,78,12.53,4.1546,,,,
tacotron2-160-2048,86,9.69,4.1017,,,,
tacotron2-160-4096,94,10.14,4.0258,,,,
tacotron2-160-8192,101,11.87,4.063,,,,
tacotron2-160-16384,108,27.97,3.9071,,,,
tacotron2-200-128,44,75.4,3.9506,,,,
tacotron2-200-256,50,61.81,4.0719,,,,
tacotron2-200-512,57,48.63,4.0096,,,,
tacotron2-200-1024,63,36.88,4.0507,,,,
tacotron2-200-2048,69,33.48,4.0794,,,,
tacotron2-200-4096,76,33.08,4.0194,,,,
tacotron2-200-8192,81,45.36,3.9359,,,,
tacotron2-200-16384,86,61.21,3.6328,,,,
tacotron2-240-128,36,88.28,3.7914,,,,
tacotron2-240-256,42,80.7,3.9342,,,,
tacotron2-240-512,48,68.28,3.9607,,,,
tacotron2-240-1024,53,59.5,4.063,,,,
tacotron2-240-2048,58,53.71,4.0427,,,,
tacotron2-240-4096,63,55.5,3.9987,,,,
tacotron2-240-8192,67,62.89,3.9663,,,,
tacotron2-240-16384,71,78.62,3.7475,,,,
tacotron2-280-128,31,91.4,3.8234,,,,
tacotron2-280-256,36,90.14,3.7998,,,,
tacotron2-280-512,41,81.71,3.9177,,,,
tacotron2-280-1024,46,73.11,3.9703,,,,
tacotron2-280-2048,50,68.86,3.9734,,,,
tacotron2-280-4096,54,70.74,3.901,,,,
tacotron2-280-8192,58,78.24,3.7179,,,,
tacotron2-280-16384,61,85.76,3.6481,,,,
vits-20-128,194,2.36,4.3996,0.7,260.541,20.59,0.479
vits-20-256,237,1.58,4.3844,0.6,210.7,24.64,0.426
vits-20-512,282,1.81,4.3676,0.7,252.971,21.48,0.471
vits-20-1024,326,1.61,4.3467,0.6,244.448,21.28,0.467
vits-20-2048,372,1.56,4.2916,0.6,216.112,22.15,0.459
vits-20-4096,431,1.89,4.1873,0.7,203.72,16.43,0.371
vits-20-8192,497,1.66,4.0028,0.7,268.401,17.71,0.54
vits-20-16384,576,2.16,3.9565,,,,
vits-40-128,152,3.14,4.367,0.7,267.843,24.01,0.443
vits-40-256,181,1.94,4.3544,0.7,258.235,17.97,0.456
vits-40-512,211,1.91,4.3343,0.7,256.919,16.17,0.482
vits-40-1024,237,1.84,4.3152,0.6,196.977,24.76,0.474
vits-40-2048,265,1.99,4.3051,0.6,223.877,22.8,0.514
vits-40-4096,299,1.69,4.2291,0.7,241.09,15.56,0.482
vits-40-8192,334,2.24,4.1472,0.6,250.023,16.59,0.525
vits-40-16384,372,2.34,3.986,,,,
vits-80-128,96,11.32,4.3149,,,,
vits-80-256,116,6.04,4.3077,,,,
vits-80-512,130,4.63,4.3234,0.7,250.185,17.04,0.47
vits-80-1024,145,4.96,4.3163,0.7,244.124,16.78,0.478
vits-80-2048,159,3.85,4.2452,0.7,233.153,17.71,0.515
vits-80-4096,175,4.15,4.2091,0.6,214.647,19.55,0.46
vits-80-8192,192,4.03,4.173,0.7,254.09,15.17,0.565
vits-80-16384,208,4.45,4.0239,1.2,243.105,8.86,0.594
vits-120-128,69,35.27,4.2416,,,,
vits-120-256,81,22.69,4.2294,,,,
vits-120-512,92,18.52,4.2131,,,,
vits-120-1024,103,15.25,4.2358,,,,
vits-120-2048,112,16.98,4.2005,,,,
vits-120-4096,123,15.77,4.149,,,,
vits-120-8192,133,15.07,4.065,,,,
vits-120-16384,143,15.45,4.0484,,,,
vits-160-128,54,79.47,4.0862,,,,
vits-160-256,63,52.13,4.081,,,,
vits-160-512,71,52.81,4.0994,,,,
vits-160-1024,78,46.89,4.0586,,,,
vits-160-2048,86,44.55,4.0036,,,,
vits-160-4096,94,46.34,3.9763,,,,
vits-160-8192,101,46.69,3.9218,,,,
vits-160-16384,108,43.6,3.8821,,,,
vits-200-128,44,137.31,3.8696,,,,
vits-200-256,50,152.93,3.8458,,,,
vits-200-512,57,99.65,3.8706,,,,
vits-200-1024,63,102.89,3.8125,,,,
vits-200-2048,69,92.7,3.8362,,,,
