setting	bitrate	cer	utmos	temperature	PPL	VERT	distance
20-128	194	0.719	4.211	0.6	209.967	25.74	0.484
20-256	237	0.452	4.202	0.6	220.393	25.06	0.428
20-512	282	0.31	4.151	0.7	241.431	21.65	0.44
20-1024	326	0.677	4.113	0.6	237.413	21.02	0.459
20-2048	372	0.417	4.172	0.6	220.438	22.18	0.447
20-4096	431	0.379	4.116	0.6	252.458	22.3	0.522
20-8192	497	47.029	3.08	None	None	None	None
20-16384	577	87.388	2.332	None	None	None	None
40-128	152	7.01	3.848	None	None	None	None
40-256	181	0.964	4.186	0.6	205.228	23.25	0.447
40-512	212	0.356	4.194	0.7	254.193	16.21	0.452
40-1024	238	0.739	4.084	0.6	187.003	24.26	0.437
40-2048	265	0.36	4.177	0.6	217.226	22.97	0.493
40-4096	300	0.344	4.066	0.7	245.393	15.66	0.491
40-8192	335	0.945	3.846	None	None	None	None
40-16384	373	90.342	2.385	None	None	None	None
80-128	96	3.241	4.154	0.6	312.045	22.88	0.504
80-256	116	1.263	4.192	0.7	278.704	18.98	0.508
80-512	130	0.827	4.229	0.7	229.964	17.46	0.425
80-1024	145	0.723	4.185	0.7	224.873	17.06	0.438
80-2048	159	0.582	4.089	0.7	206.342	18.05	0.476
80-4096	176	0.685	4.095	0.6	190.977	19.51	0.448
80-8192	192	0.432	4.096	0.7	238.786	15.33	0.545
80-16384	209	10.776	3.591	None	None	None	None
120-128	70	11.453	4.125	0.6	397.275	17.57	0.532
120-256	82	4.737	4.152	0.6	289.69	21.02	0.472
120-512	93	3.054	4.13	0.6	252.245	20.81	0.499
120-1024	103	1.511	4.163	0.7	232.7	20.94	0.482
120-2048	113	1.194	4.122	0.7	220.432	17.17	0.542
120-4096	123	1.309	4.148	0.7	229.311	15.51	0.582
120-8192	133	1.443	4.116	0.6	137.931	19.55	0.421
120-16384	143	4.994	3.896	None	None	None	None
160-128	54	25.73	4.051	None	None	None	None
160-256	63	11.652	4.153	0.6	392.381	19.14	0.631
160-512	72	7.11	4.122	0.6	290.731	21.95	0.616
160-1024	79	4.645	4.167	0.6	247.914	21.5	0.55
160-2048	87	4.003	4.158	0.7	216.462	19.82	0.56
160-4096	94	3.333	4.105	0.8	248.403	15.9	0.653
160-8192	102	5.097	4.103	0.8	189.723	17.43	0.459
160-16384	108	12.582	3.926	None	None	None	None
200-128	44	49.026	4.005	None	None	None	None
200-256	51	40.814	4.062	None	None	None	None
200-512	58	29.465	4.072	None	None	None	None
200-1024	64	24.494	4.048	None	None	None	None
200-2048	70	22.389	4.106	None	None	None	None
200-4096	76	21.88	4.052	None	None	None	None
200-8192	81	28.661	3.931	None	None	None	None
200-16384	86	38.606	3.681	None	None	None	None
240-128	37	64.704	3.799	None	None	None	None
240-256	43	57.755	3.927	None	None	None	None
240-512	48	48.594	3.972	None	None	None	None
240-1024	54	42.31	4.083	None	None	None	None
240-2048	59	39.444	4.092	None	None	None	None
240-4096	64	41.017	4.028	None	None	None	None
240-8192	68	44.557	4.024	None	None	None	None
240-16384	72	57.265	3.757	None	None	None	None
280-128	32	69.59	3.816	None	None	None	None
280-256	37	65.155	3.813	None	None	None	None
280-512	42	61.528	3.965	None	None	None	None
280-1024	46	55.279	3.987	None	None	None	None
280-2048	50	52.229	4.005	None	None	None	None
280-4096	55	54.169	3.924	None	None	None	None
280-8192	58	59.434	3.683	None	None	None	None
280-16384	61	65.66	3.644	None	None	None	None
gold	None	None	None	None	52.264	10.47	0.0
