setting,bitrate,wer,utmos,temperature,PPL,VERT,distance
gold,,0.96,4.4369,,52.264,10.47,0.0
tacotron2-20-128,194,2.24,4.1973,0.6,146.173,21.87,0.395
tacotron2-20-256,237,1.69,4.1885,0.6,188.694,18.99,0.387
tacotron2-20-512,282,1.33,4.1217,0.6,193.076,21.98,0.493
tacotron2-20-1024,326,1.36,4.1193,0.6,205.394,18.54,0.426
tacotron2-20-2048,372,1.53,4.1464,0.6,188.429,19.26,0.425
tacotron2-20-4096,431,1.48,4.0854,0.6,217.246,19.09,0.45
tacotron2-20-8192,497,75.55,3.0456,,,,
tacotron2-20-16384,576,125.43,2.4407,,,,
tacotron2-40-128,152,14.49,3.8174,,,,
tacotron2-40-256,181,1.48,4.191,0.6,178.707,19.8,0.42
tacotron2-40-512,211,1.61,4.1881,0.6,208.227,17.11,0.467
tacotron2-40-1024,237,1.89,4.0574,0.7,167.096,17.87,0.355
tacotron2-40-2048,265,1.48,4.1603,0.7,221.603,16.23,0.44
tacotron2-40-4096,299,1.41,4.064,0.7,223.748,14.58,0.464
tacotron2-40-8192,334,1.38,3.8326,,,,
tacotron2-40-16384,372,120.23,2.3675,,,,
tacotron2-80-128,96,9.01,4.1138,,,,
tacotron2-80-256,116,4.0,4.1894,0.6,192.602,21.23,0.442
tacotron2-80-512,130,2.82,4.1856,0.7,202.715,16.76,0.421
tacotron2-80-1024,145,2.01,4.1998,0.7,209.341,15.41,0.418
tacotron2-80-2048,159,1.64,4.0862,0.7,187.252,18.08,0.461
tacotron2-80-4096,175,1.86,4.0822,0.5,122.105,20.23,0.419
tacotron2-80-8192,192,1.66,4.1084,0.7,209.845,16.86,0.512
tacotron2-80-16384,208,69.96,3.6699,,,,
tacotron2-120-128,69,26.54,4.1075,,,,
tacotron2-120-256,81,10.82,4.1447,,,,
tacotron2-120-512,92,8.78,4.1096,,,,
tacotron2-120-1024,103,4.63,4.1307,0.6,165.873,23.44,0.491
tacotron2-120-2048,112,3.9,4.1396,0.7,214.896,16.21,0.534
tacotron2-120-4096,123,3.32,4.1324,0.5,89.825,21.64,0.462
tacotron2-120-8192,133,3.62,4.0928,0.6,142.055,19.35,0.533
tacotron2-120-16384,143,9.48,3.9122,,,,
tacotron2-160-128,54,52.1,4.0119,,,,
tacotron2-160-256,63,26.01,4.1368,,,,
tacotron2-160-512,71,17.96,4.0853,,,,
tacotron2-160-1024,78,12.53,4.1546,,,,
tacotron2-160-2048,86,9.69,4.1017,,,,
tacotron2-160-4096,94,10.14,4.0258,,,,
tacotron2-160-8192,101,11.87,4.063,,,,
tacotron2-160-16384,108,27.97,3.9071,,,,
tacotron2-200-128,44,75.4,3.9506,,,,
tacotron2-200-256,50,61.81,4.0719,,,,
tacotron2-200-512,57,48.63,4.0096,,,,
tacotron2-200-1024,63,36.88,4.0507,,,,
tacotron2-200-2048,69,33.48,4.0794,,,,
tacotron2-200-4096,76,33.08,4.0194,,,,
tacotron2-200-8192,81,45.36,3.9359,,,,
tacotron2-200-16384,86,61.21,3.6328,,,,
tacotron2-240-128,36,88.28,3.7914,,,,
tacotron2-240-256,42,80.7,3.9342,,,,
tacotron2-240-512,48,68.28,3.9607,,,,
tacotron2-240-1024,53,59.5,4.063,,,,
tacotron2-240-2048,58,53.71,4.0427,,,,
tacotron2-240-4096,63,55.5,3.9987,,,,
tacotron2-240-8192,67,62.89,3.9663,,,,
tacotron2-240-16384,71,78.62,3.7475,,,,
tacotron2-280-128,31,91.4,3.8234,,,,
tacotron2-280-256,36,90.14,3.7998,,,,
tacotron2-280-512,41,81.71,3.9177,,,,
tacotron2-280-1024,46,73.11,3.9703,,,,
tacotron2-280-2048,50,68.86,3.9734,,,,
tacotron2-280-4096,54,70.74,3.901,,,,
tacotron2-280-8192,58,78.24,3.7179,,,,
tacotron2-280-16384,61,85.76,3.6481,,,,
vits-20-128,194,2.36,4.3996,0.6,186.765,21.19,0.476
vits-20-256,237,1.58,4.3844,0.6,193.257,18.36,0.402
vits-20-512,282,1.81,4.3676,0.6,184.746,21.55,0.477
vits-20-1024,326,1.61,4.3467,0.7,181.933,16.01,0.356
vits-20-2048,372,1.56,4.2916,0.6,181.326,19.2,0.417
vits-20-4096,431,1.89,4.1873,0.6,196.354,18.81,0.462
vits-20-8192,497,1.66,4.0028,0.6,202.796,19.64,0.525
vits-20-16384,576,2.16,3.9565,,,,
vits-40-128,152,3.14,4.367,0.7,232.366,19.2,0.43
vits-40-256,181,1.94,4.3544,0.6,190.41,19.36,0.445
vits-40-512,211,1.91,4.3343,0.7,221.68,14.34,0.456
vits-40-1024,237,1.84,4.3152,0.7,207.325,16.74,0.453
vits-40-2048,265,1.99,4.3051,0.6,144.83,19.76,0.395
vits-40-4096,299,1.69,4.2291,0.7,169.125,14.94,0.37
vits-40-8192,334,2.24,4.1472,0.8,215.988,11.84,0.431
vits-40-16384,372,2.34,3.986,,,,
vits-80-128,96,11.32,4.3149,,,,
vits-80-256,116,6.04,4.3077,,,,
vits-80-512,130,4.63,4.3234,0.7,217.451,15.94,0.453
vits-80-1024,145,4.96,4.3163,0.6,190.641,18.47,0.444
vits-80-2048,159,3.85,4.2452,0.6,177.315,18.76,0.462
vits-80-4096,175,4.15,4.2091,0.5,125.19,20.29,0.438
vits-80-8192,192,4.03,4.173,0.7,207.279,16.15,0.496
vits-80-16384,208,4.45,4.0239,0.7,210.869,16.21,0.596
vits-120-128,69,35.27,4.2416,,,,
vits-120-256,81,22.69,4.2294,,,,
vits-120-512,92,18.52,4.2131,,,,
vits-120-1024,103,15.25,4.2358,,,,
vits-120-2048,112,16.98,4.2005,,,,
vits-120-4096,123,15.77,4.149,,,,
vits-120-8192,133,15.07,4.065,,,,
vits-120-16384,143,15.45,4.0484,,,,
vits-160-128,54,79.47,4.0862,,,,
vits-160-256,63,52.13,4.081,,,,
vits-160-512,71,52.81,4.0994,,,,
vits-160-1024,78,46.89,4.0586,,,,
vits-160-2048,86,44.55,4.0036,,,,
vits-160-4096,94,46.34,3.9763,,,,
vits-160-8192,101,46.69,3.9218,,,,
vits-160-16384,108,43.6,3.8821,,,,
vits-200-128,44,137.31,3.8696,,,,
vits-200-256,50,152.93,3.8458,,,,
vits-200-512,57,99.65,3.8706,,,,
vits-200-1024,63,102.89,3.8125,,,,
vits-200-2048,69,92.7,3.8362,,,,
vits-200-4096,76,127.97,3.7777,,,,
vits-200-8192,81,88.91,3.6804,,,,
vits-200-16384,86,95.37,3.567,,,,
vits-240-128,36,227.09,3.5877,,,,
vits-240-256,42,197.13,3.6143,,,,
vits-240-512,48,149.13,3.684,,,,
vits-240-1024,53,159.25,3.6431,,,,
vits-240-2048,58,201.71,3.5432,,,,
vits-240-4096,63,176.43,3.5696,,,,
vits-240-8192,67,133.28,3.5462,,,,
vits-240-16384,71,157.61,3.4318,,,,
vits-280-128,31,262.42,3.4787,,,,
vits-280-256,36,234.19,3.4882,,,,
vits-280-512,41,188.88,3.4989,,,,
vits-280-1024,46,251.7,3.3527,,,,
vits-280-2048,50,160.15,3.4674,,,,
vits-280-4096,54,223.3,3.3984,,,,
vits-280-8192,58,195.52,3.1874,,,,
vits-280-16384,61,204.13,3.3051,,,,
