setting,total_utterances,total_duration_sec,average_duration_sec
20-128-0.7,207,2097.26,10.13
20-256-0.6,206,2397.68,11.64
20-512-0.7,207,2001.50,9.67
20-1024-0.6,207,1778.39,8.59
20-2048-0.6,206,1670.85,8.11
20-4096-0.7,207,1596.56,7.71
20-8192-0.7,207,1761.29,8.51
20-16384-0.6,207,1623.31,7.84
40-128-0.7,207,2178.88,10.53
40-256-0.7,207,1710.15,8.26
40-512-0.7,207,1751.23,8.46
40-1024-0.6,207,1712.12,8.27
40-2048-0.6,205,1656.59,8.08
40-4096-0.7,207,1441.03,6.96
40-8192-0.6,207,1538.65,7.43
40-16384-0.6,207,1526.39,7.37
80-128-0.6,207,1424.46,6.88
80-256-0.6,207,1200.70,5.80
80-512-0.7,207,1464.85,7.08
80-1024-0.7,207,1479.25,7.15
80-2048-0.7,207,1410.00,6.81
80-4096-0.6,207,1502.12,7.26
80-8192-0.7,207,1341.96,6.48
80-16384-1.2,207,1342.65,6.49
120-128-1.0,207,1502.57,7.26
120-256-0.6,207,1408.08,6.80
120-512-0.5,207,1417.98,6.85
120-1024-0.5,206,1414.06,6.86
120-2048-0.5,207,1267.41,6.12
120-4096-0.5,207,1497.21,7.23
120-8192-1.1,207,1384.55,6.69
120-16384-0.8,207,1321.27,6.38
