setting,total_utterances,total_duration_sec,average_duration_sec
20-128-0.6,207,1962.00,9.48
20-256-0.6,206,2308.69,11.21
20-512-0.7,207,1964.66,9.49
20-1024-0.6,207,1742.82,8.42
20-2048-0.6,206,1654.64,8.03
20-4096-0.6,207,1587.58,7.67
40-256-0.6,207,1590.17,7.68
40-512-0.7,207,1695.22,8.19
40-1024-0.6,207,1627.48,7.86
40-2048-0.6,205,1580.49,7.71
40-4096-0.7,207,1376.71,6.65
80-128-0.6,207,1441.81,6.97
80-256-0.7,207,1161.03,5.61
80-512-0.7,207,1439.27,6.95
80-1024-0.7,207,1443.35,6.97
80-2048-0.7,207,1375.28,6.64
80-4096-0.6,207,1461.05,7.06
80-8192-0.7,207,1316.58,6.36
120-128-0.6,207,1625.68,7.85
120-256-0.6,207,1381.63,6.67
120-512-0.6,207,1411.66,6.82
120-1024-0.7,207,1476.08,7.13
120-2048-0.7,207,1266.66,6.12
120-4096-0.7,207,1524.56,7.37
120-8192-0.6,207,1449.30,7.00
160-256-0.6,209,1204.90,5.77
160-512-0.6,209,1428.60,6.84
160-1024-0.6,209,1259.47,6.03
160-2048-0.7,209,1643.22,7.86
160-4096-0.8,209,1384.00,6.62
160-8192-0.8,209,1433.11,6.86
