setting_i,setting_j,mean_diff,p_adj,significant
20-128,20-256,-0.20799999999999974,0.6434678434242859,False
20-128,20-512,-0.19399999999999995,1.0,False
20-128,20-1024,-0.19599999999999973,0.9675445152526837,False
20-128,20-2048,-0.16199999999999992,1.0,False
20-128,20-4096,-0.08599999999999985,1.0,False
20-128,40-256,-0.08599999999999985,1.0,False
20-128,40-512,-0.07999999999999963,1.0,False
20-128,40-1024,0.028000000000000025,1.0,False
20-128,40-2048,-0.06599999999999984,1.0,False
20-128,40-4096,0.014000000000000234,1.0,False
20-128,80-256,0.15600000000000014,1.0,False
20-128,80-512,0.11000000000000032,1.0,False
20-128,80-1024,0.07800000000000029,1.0,False
20-128,80-2048,-0.0479999999999996,1.0,False
20-128,80-4096,-0.06399999999999961,1.0,False
20-128,80-8192,-0.07599999999999962,1.0,False
20-128,120-1024,0.08000000000000007,1.0,False
20-128,120-2048,0.2060000000000004,1.0,False
20-128,120-4096,-0.06799999999999962,1.0,False
20-128,120-8192,0.018000000000000238,1.0,False
20-256,20-512,0.01399999999999979,1.0,False
20-256,20-1024,0.01200000000000001,1.0,False
20-256,20-2048,0.04599999999999982,1.0,False
20-256,20-4096,0.12199999999999989,1.0,False
20-256,40-256,0.12199999999999989,1.0,False
20-256,40-512,0.1280000000000001,1.0,False
20-256,40-1024,0.23599999999999977,0.18364346608367704,False
20-256,40-2048,0.1419999999999999,1.0,False
20-256,40-4096,0.22199999999999998,0.4612990290046791,False
20-256,80-256,0.3639999999999999,6.255337182080549e-05,True
20-256,80-512,0.31800000000000006,0.001068962349474312,True
20-256,80-1024,0.28600000000000003,0.016959204072997162,True
20-256,80-2048,0.16000000000000014,1.0,False
20-256,80-4096,0.14400000000000013,1.0,False
20-256,80-8192,0.13200000000000012,1.0,False
20-256,120-1024,0.2879999999999998,0.010564563475102939,True
20-256,120-2048,0.41400000000000015,1.2465109680102904e-06,True
20-256,120-4096,0.14000000000000012,1.0,False
20-256,120-8192,0.22599999999999998,0.3209864043422456,False
20-512,20-1024,-0.0019999999999997797,1.0,False
20-512,20-2048,0.03200000000000003,1.0,False
20-512,20-4096,0.1080000000000001,1.0,False
20-512,40-256,0.1080000000000001,1.0,False
20-512,40-512,0.11400000000000032,1.0,False
20-512,40-1024,0.22199999999999998,0.6156069697630734,False
20-512,40-2048,0.1280000000000001,1.0,False
20-512,40-4096,0.20800000000000018,1.0,False
20-512,80-256,0.3500000000000001,0.00044251997552873515,True
20-512,80-512,0.30400000000000027,0.005929957355256395,True
20-512,80-1024,0.27200000000000024,0.0740958316325112,False
20-512,80-2048,0.14600000000000035,1.0,False
20-512,80-4096,0.13000000000000034,1.0,False
20-512,80-8192,0.11800000000000033,1.0,False
20-512,120-1024,0.274,0.046607011090477865,True
20-512,120-2048,0.40000000000000036,1.1436863583106078e-05,True
20-512,120-4096,0.12600000000000033,1.0,False
20-512,120-8192,0.2120000000000002,1.0,False
20-1024,20-2048,0.03399999999999981,1.0,False
20-1024,20-4096,0.10999999999999988,1.0,False
20-1024,40-256,0.10999999999999988,1.0,False
20-1024,40-512,0.1160000000000001,1.0,False
20-1024,40-1024,0.22399999999999975,0.2865830803364232,False
20-1024,40-2048,0.1299999999999999,1.0,False
20-1024,40-4096,0.20999999999999996,0.7158957756801868,False
20-1024,80-256,0.35199999999999987,0.00011070177559235969,True
20-1024,80-512,0.30600000000000005,0.0017463478057721036,True
20-1024,80-1024,0.274,0.02840920366682261,True
20-1024,80-2048,0.14800000000000013,1.0,False
20-1024,80-4096,0.13200000000000012,1.0,False
20-1024,80-8192,0.1200000000000001,1.0,False
20-1024,120-1024,0.2759999999999998,0.017547214805102154,True
20-1024,120-2048,0.40200000000000014,2.2888857184915174e-06,True
20-1024,120-4096,0.1280000000000001,1.0,False
20-1024,120-8192,0.21399999999999997,0.49030093803175623,False
20-2048,20-4096,0.07600000000000007,1.0,False
20-2048,40-256,0.07600000000000007,1.0,False
20-2048,40-512,0.0820000000000003,1.0,False
20-2048,40-1024,0.18999999999999995,1.0,False
20-2048,40-2048,0.09600000000000009,1.0,False
20-2048,40-4096,0.17600000000000016,1.0,False
20-2048,80-256,0.31800000000000006,0.0019107556257842227,True
20-2048,80-512,0.27200000000000024,0.023167508701370958,True
20-2048,80-1024,0.2400000000000002,0.23578123184125627,False
20-2048,80-2048,0.11400000000000032,1.0,False
20-2048,80-4096,0.09800000000000031,1.0,False
20-2048,80-8192,0.0860000000000003,1.0,False
20-2048,120-1024,0.242,0.15056660123764892,False
20-2048,120-2048,0.3680000000000003,5.991859653467856e-05,True
20-2048,120-4096,0.0940000000000003,1.0,False
20-2048,120-8192,0.18000000000000016,1.0,False
20-4096,40-256,0.0,1.0,False
20-4096,40-512,0.006000000000000227,1.0,False
20-4096,40-1024,0.11399999999999988,1.0,False
20-4096,40-2048,0.020000000000000018,1.0,False
20-4096,40-4096,0.10000000000000009,1.0,False
20-4096,80-256,0.242,0.17852008299871186,False
