setting,n_scores,mean_mmos,se,ci95_low,ci95_high
80-8192,500,2.836,0.0547009358674012,2.7285274635867856,2.943472536413214
80-4096,500,2.832,0.053565759409928325,2.7267577781367396,2.93724222186326
20-1024,500,2.798,0.05804420953481098,2.6839588355503103,2.9120411644496897
20-2048,500,2.704,0.05563234594938149,2.5946974948236567,2.8133025051763436
80-2048,500,2.674,0.051892520340938046,2.572045240113734,2.775954759886266
120-2048,500,2.674,0.05619398123512969,2.5635940334707312,2.7844059665292686
120-8192,500,2.662,0.05640811778018308,2.5511733131069803,2.7728266868930196
120-4096,500,2.654,0.05494183479299578,2.5460541623874122,2.7619458376125876
80-1024,500,2.638,0.05369990091906533,2.532494226371187,2.743505773628813
20-4096,500,2.618,0.0540925503929703,2.51172277640945,2.72427722359055
40-4096,500,2.616,0.05469067690457452,2.5085476196725724,2.7234523803274278
40-2048,500,2.602,0.05445293605021659,2.4950147161165677,2.708985283883432
80-256,500,2.602,0.0540836581988343,2.495740247164619,2.7082597528353807
40-512,500,2.59,0.05493483113055581,2.4820679226888527,2.697932077311147
80-512,500,2.584,0.054734630349706735,2.476461263047086,2.6915387369529142
20-512,500,2.552,0.05385529487033881,2.446188919307938,2.657811080692062
40-256,500,2.544,0.05274174231825804,2.4403767487354204,2.6476232512645796
120-1024,500,2.536,0.05642495503854835,2.4251402324506066,2.6468597675493934
40-1024,500,2.498,0.05427599623714953,2.3913623549677365,2.604637645032264
20-256,500,2.46,0.05417258844357868,2.353565523299022,2.566434476700978
20-128,500,2.432,0.05411662608142598,2.3256754741967325,2.5383245258032674
