Model,N,K,WER,CER
Gold,,,0.96,0.28
tacotron2,20,128,2.24,0.72
tacotron2,20,256,1.69,0.56
tacotron2,20,512,1.33,0.37
tacotron2,20,1024,1.36,0.44
tacotron2,20,2048,1.53,0.47
tacotron2,20,4096,1.48,0.45
tacotron2,20,8192,75.55,50.87
tacotron2,20,16384,125.43,105.63
tacotron2,40,128,14.49,7.29
tacotron2,40,256,1.48,0.49
tacotron2,40,512,1.61,0.47
tacotron2,40,1024,1.89,0.60
tacotron2,40,2048,1.48,0.47
tacotron2,40,4096,1.41,0.45
tacotron2,40,8192,1.38,0.48
tacotron2,40,16384,120.23,103.55
tacotron2,80,128,9.01,4.01
tacotron2,80,256,4.00,1.48
tacotron2,80,512,2.82,1.03
tacotron2,80,1024,2.01,0.76
tacotron2,80,2048,1.64,0.54
tacotron2,80,4096,1.86,0.56
tacotron2,80,8192,1.66,0.54
tacotron2,80,16384,69.96,53.07
tacotron2,120,128,26.54,13.90
tacotron2,120,256,10.82,4.94
tacotron2,120,512,8.78,3.86
tacotron2,120,1024,4.63,1.77
tacotron2,120,2048,3.90,1.59
tacotron2,120,4096,3.32,1.34
tacotron2,120,8192,3.62,1.40
tacotron2,120,16384,9.48,4.82
tacotron2,160,128,52.10,29.28
tacotron2,160,256,26.01,13.30
tacotron2,160,512,17.96,8.76
tacotron2,160,1024,12.53,5.73
tacotron2,160,2048,9.69,4.38
tacotron2,160,4096,10.14,4.73
tacotron2,160,8192,11.87,5.75
tacotron2,160,16384,27.97,15.32
tacotron2,200,128,75.40,51.72
tacotron2,200,256,61.81,42.60
tacotron2,200,512,48.63,33.17
tacotron2,200,1024,36.88,25.87
tacotron2,200,2048,33.48,24.31
tacotron2,200,4096,33.08,24.19
tacotron2,200,8192,45.36,31.65
tacotron2,200,16384,61.21,42.50
tacotron2,240,128,88.28,65.70
tacotron2,240,256,80.70,60.03
tacotron2,240,512,68.28,51.02
tacotron2,240,1024,59.50,45.66
tacotron2,240,2048,53.71,42.01
tacotron2,240,4096,55.50,43.25
tacotron2,240,8192,62.89,48.05
tacotron2,240,16384,78.62,59.71
tacotron2,280,128,91.40,70.32
tacotron2,280,256,90.14,69.03
tacotron2,280,512,81.71,63.57
tacotron2,280,1024,73.11,57.77
tacotron2,280,2048,68.86,55.23
tacotron2,280,4096,70.74,56.48
tacotron2,280,8192,78.24,61.75
tacotron2,280,16384,85.76,66.80
vits,20,128,2.36,0.83
vits,20,256,1.58,0.50
vits,20,512,1.81,0.54
vits,20,1024,1.61,0.53
vits,20,2048,1.56,0.45
vits,20,4096,1.89,0.62
vits,20,8192,1.66,0.54
vits,20,16384,2.16,0.80
vits,40,128,3.14,1.15
vits,40,256,1.94,0.68
vits,40,512,1.91,0.60
vits,40,1024,1.84,0.64
vits,40,2048,1.99,0.61
vits,40,4096,1.69,0.56
vits,40,8192,2.24,0.83
vits,40,16384,2.34,0.83
vits,80,128,11.32,5.41
vits,80,256,6.04,2.65
vits,80,512,4.63,2.01
vits,80,1024,4.96,2.04
vits,80,2048,3.85,1.53
vits,80,4096,4.15,1.81
vits,80,8192,4.03,1.64
vits,80,16384,4.45,1.93
vits,120,128,35.27,19.03
vits,120,256,22.69,11.47
vits,120,512,18.52,9.25
vits,120,1024,15.25,7.86
vits,120,2048,16.98,8.52
vits,120,4096,15.77,8.03
vits,120,8192,15.07,7.42
vits,120,16384,15.45,7.77
vits,160,128,79.47,47.29
vits,160,256,52.13,28.93
vits,160,512,52.81,29.38
vits,160,1024,46.89,27.92
vits,160,2048,44.55,24.83
vits,160,4096,46.34,26.14
vits,160,8192,46.69,26.11
vits,160,16384,43.60,23.90
vits,200,128,137.31,95.51
vits,200,256,152.93,97.98
vits,200,512,99.65,63.45
vits,200,1024,102.89,65.51
vits,200,2048,92.70,55.69
vits,200,4096,127.97,79.27
vits,200,8192,88.91,55.44
vits,200,16384,95.37,60.06
vits,240,128,227.09,153.22
vits,240,256,197.13,121.25
vits,240,512,149.13,103.94
vits,240,1024,159.25,105.57
vits,240,2048,201.71,134.63
vits,240,4096,176.43,116.70
vits,240,8192,133.28,84.13
vits,240,16384,157.61,104.00
vits,280,128,262.42,169.65
vits,280,256,234.19,152.92
vits,280,512,188.88,124.13
vits,280,1024,251.70,162.87
vits,280,2048,160.15,101.78
vits,280,4096,223.30,147.86
vits,280,8192,195.52,127.74
vits,280,16384,204.13,136.96
