,wer,cer,MCD,Log_F0_RMSE,speechBERTScore,UTMOS,bitrate
gold,0.96,0.28,,,,4.4369,
tacotron2-20-128,2.24,0.72,4.8987,0.2838,0.9125,4.1973,194.3
tacotron2-20-256,1.69,0.56,4.8622,0.273,0.9141,4.1885,237.2
tacotron2-20-512,1.33,0.37,4.9569,0.3157,0.9132,4.1217,282.3
tacotron2-20-1024,1.36,0.44,4.9215,0.3042,0.9146,4.1193,326.0
tacotron2-20-2048,1.53,0.47,4.859,0.3103,0.9165,4.1464,372.5
tacotron2-20-4096,1.48,0.45,4.8663,0.3143,0.9146,4.0854,431.3
tacotron2-20-8192,75.55,50.87,7.0921,0.3798,0.7226,3.0456,497.4
tacotron2-20-16384,125.43,105.63,10.2,0.555,0.6571,2.4407,576.7
tacotron2-40-128,14.49,7.29,5.7592,0.3327,0.8443,3.8174,152.3
tacotron2-40-256,1.48,0.49,4.9523,0.2998,0.9116,4.191,181.0
tacotron2-40-512,1.61,0.47,4.8959,0.3098,0.9143,4.1881,211.8
tacotron2-40-1024,1.89,0.6,5.1247,0.3232,0.9022,4.0574,237.7
tacotron2-40-2048,1.48,0.47,4.8391,0.2864,0.9169,4.1603,265.1
tacotron2-40-4096,1.41,0.45,4.9401,0.3262,0.9133,4.064,299.6
tacotron2-40-8192,1.38,0.48,5.083,0.3657,0.9041,3.8326,334.9
tacotron2-40-16384,120.23,103.55,10.5561,,0.657,2.3675,372.8
tacotron2-80-128,9.01,4.01,5.2279,0.3047,0.8928,4.1138,96.5
tacotron2-80-256,4.0,1.48,5.0079,0.2809,0.9061,4.1894,116.1
tacotron2-80-512,2.82,1.03,4.9747,0.2906,0.9102,4.1856,130.3
tacotron2-80-1024,2.01,0.76,4.9397,0.3044,0.9123,4.1998,145.4
tacotron2-80-2048,1.64,0.54,5.0212,0.3264,0.9105,4.0862,159.4
tacotron2-80-4096,1.86,0.56,5.0241,0.3173,0.9111,4.0822,175.9
tacotron2-80-8192,1.66,0.54,4.9921,0.31,0.9109,4.1084,192.4
tacotron2-80-16384,69.96,53.07,5.7629,0.3626,0.839,3.6699,208.7
tacotron2-120-128,26.54,13.9,5.4794,0.315,0.8665,4.1075,69.9
tacotron2-120-256,10.82,4.94,5.2512,0.2922,0.8909,4.1447,81.9
tacotron2-120-512,8.78,3.86,5.1823,0.3066,0.8941,4.1096,92.6
tacotron2-120-1024,4.63,1.77,5.0916,0.3033,0.9042,4.1307,103.0
tacotron2-120-2048,3.9,1.59,5.085,0.3119,0.9064,4.1396,112.8
tacotron2-120-4096,3.32,1.34,5.0723,0.3004,0.9065,4.1324,123.4
tacotron2-120-8192,3.62,1.4,5.0805,0.3127,0.9033,4.0928,133.4
tacotron2-120-16384,9.48,4.82,5.4861,0.342,0.8801,3.9122,143.1
tacotron2-160-128,52.1,29.28,6.012,0.3029,0.8328,4.0119,54.4
tacotron2-160-256,26.01,13.3,5.4905,0.2874,0.8692,4.1368,63.2
tacotron2-160-512,17.96,8.76,5.4985,0.2958,0.8816,4.0853,71.6
tacotron2-160-1024,12.53,5.73,5.2827,0.3172,0.8902,4.1546,78.8
tacotron2-160-2048,9.69,4.38,5.2623,0.3112,0.8928,4.1017,86.8
tacotron2-160-4096,10.14,4.73,5.2558,0.3497,0.8908,4.0258,94.3
tacotron2-160-8192,11.87,5.75,5.2723,0.2956,0.8871,4.063,101.5
tacotron2-160-16384,27.97,15.32,5.7155,0.3228,0.8535,3.9071,108.5
tacotron2-200-128,75.4,51.72,7.5953,0.3335,0.7946,3.9506,44.3
tacotron2-200-256,61.81,42.6,7.3038,0.3256,0.8195,4.0719,50.8
