worker_id,order,setting_id,sample_id,audio_path,speaker_id,text_id,worker_seed
0,0,1,10,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-256-0.6/LJ049-0021.wav,,,926045446
0,1,9,0,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/40-2048-0.7/LJ049-0008.wav,,,926045446
0,2,1,9,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-256-0.6/LJ049-0020.wav,,,926045446
0,3,12,43,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-512-0.7/LJ049-0061.wav,,,926045446
0,4,8,47,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/40-1024-0.7/LJ049-0066.wav,,,926045446
0,5,7,47,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/40-512-0.6/LJ049-0066.wav,,,926045446
0,6,5,39,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-4096-0.6/LJ049-0057.wav,,,926045446
0,7,0,23,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-128-0.6/LJ049-0038.wav,,,926045446
0,8,15,41,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-4096-0.5/LJ049-0059.wav,,,926045446
0,9,16,12,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-8192-0.7/LJ049-0023.wav,,,926045446
0,10,4,47,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-2048-0.6/LJ049-0066.wav,,,926045446
0,11,20,6,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/120-8192-0.6/LJ049-0015.wav,,,926045446
0,12,14,38,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-2048-0.7/LJ049-0056.wav,,,926045446
0,13,6,39,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/40-256-0.6/LJ049-0057.wav,,,926045446
0,14,6,38,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/40-256-0.6/LJ049-0056.wav,,,926045446
0,15,7,48,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/40-512-0.6/LJ049-0067.wav,,,926045446
0,16,0,24,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-128-0.6/LJ049-0039.wav,,,926045446
0,17,18,36,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/120-2048-0.7/LJ049-0053.wav,,,926045446
0,18,3,1,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-1024-0.6/LJ049-0009.wav,,,926045446
0,19,11,1,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-256-0.6/LJ049-0009.wav,,,926045446
0,20,12,42,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-512-0.7/LJ049-0060.wav,,,926045446
0,21,9,1,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/40-2048-0.7/LJ049-0009.wav,,,926045446
0,22,10,39,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/40-4096-0.7/LJ049-0057.wav,,,926045446
0,23,3,0,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-1024-0.6/LJ049-0008.wav,,,926045446
0,24,2,31,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-512-0.6/LJ049-0047.wav,,,926045446
0,25,19,12,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/120-4096-0.5/LJ049-0023.wav,,,926045446
0,26,15,40,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-4096-0.5/LJ049-0058.wav,,,926045446
0,27,8,48,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/40-1024-0.7/LJ049-0067.wav,,,926045446
0,28,13,34,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-1024-0.7/LJ049-0050.wav,,,926045446
0,29,20,7,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/120-8192-0.6/LJ049-0017.wav,,,926045446
0,30,2,32,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-512-0.6/LJ049-0048.wav,,,926045446
0,31,19,13,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/120-4096-0.5/LJ049-0026.wav,,,926045446
0,32,5,38,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-4096-0.6/LJ049-0056.wav,,,926045446
0,33,17,38,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/120-1024-0.6/LJ049-0056.wav,,,926045446
0,34,10,40,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/40-4096-0.7/LJ049-0058.wav,,,926045446
0,35,17,39,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/120-1024-0.6/LJ049-0057.wav,,,926045446
0,36,18,37,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/120-2048-0.7/LJ049-0054.wav,,,926045446
0,37,4,48,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/20-2048-0.6/LJ049-0067.wav,,,926045446
0,38,14,39,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-2048-0.7/LJ049-0057.wav,,,926045446
0,39,13,33,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-1024-0.7/LJ049-0049.wav,,,926045446
0,40,16,11,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-8192-0.7/LJ049-0022.wav,,,926045446
0,41,11,2,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-256-0.6/LJ049-0011.wav,,,926045446
1,0,19,47,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/120-4096-0.5/LJ049-0066.wav,,,926045447
1,1,20,1,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/120-8192-0.6/LJ049-0009.wav,,,926045447
1,2,11,17,/work/gk77/k77035/espnet/egs2/ljspeech/tts1/myscripts/audio_cut_10s/80-256-0.6/LJ049-0030.wav,,,926045447
